n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
20,10,0.5,async,2,438829898,131,1,0,3030,0,20,1,1,1.0,29.8
200,5,0.05,async,39,1045715442,1596,1,0,7970,0,200,0,0,1.0,7.57
20,12,0.2,sync,94,228449625,19,0,2,1890,284,2,0,3,0.8,42.4
100,12,0.7,sync,86,1520506733,4,1,0,166810,0,100,1,4,1.0,45.46
150,8,0.2,async,48,101975741,1498,1,0,47672,0,150,1,1,1.0,20.05333333333333
150,15,0.1,async,83,570414402,1230,1,0,83150,0,150,1,9,1.0,70.94666666666667
100,15,0.2,sync,31,1226613914,7,1,0,74982,0,100,1,10,1.0,70.72
100,5,0.7,sync,67,1618539962,2,1,0,27628,0,100,0,1,1.0,7.26
50,12,0.3,async,34,50974735,282,1,0,16446,0,50,0,9,1.0,42.48
150,5,0.1,sync,20,64168953,5,1,0,9332,0,150,0,3,1.0,7.293333333333333
100,8,0.3,sync,46,866660375,3,1,0,30958,0,100,1,1,1.0,19.72
200,8,0.7,async,22,148565373,1266,1,0,291050,0,200,0,1,1.0,19.74
50,5,0.5,async,101,613351614,235,1,0,4636,0,50,1,2,1.0,7.16
200,12,0.3,async,6,895561269,1047,1,0,286468,0,200,1,0,1.0,45.49
200,8,0.7,sync,74,1087245802,4,1,0,292584,0,200,0,4,1.0,20.34
20,5,0.3,async,98,1277052659,146,1,0,386,0,20,0,0,1.0,7.3
100,12,0.2,sync,119,1491812414,7,1,0,48896,0,100,1,4,1.0,45.48
20,15,0.2,async,88,538133314,316,1,0,3728,168,8,0,1,0.5,69.3
150,8,0.5,async,9,1650916564,951,1,0,117442,0,150,1,6,1.0,20.346666666666668
200,8,0.2,sync,68,1974746599,5,1,0,83236,0,200,0,7,1.0,20.29
150,8,0.05,async,23,244585299,1350,1,0,12158,0,150,1,0,1.0,20.25333333333333
20,8,0.3,sync,83,1797585473,10,0,2,1250,56,5,0,1,1.0,17.1
100,10,0.1,async,29,804476962,1416,1,0,15412,0,100,1,6,1.0,31.86
20,8,0.05,sync,25,1494577709,8,0,2,424,426,1,0,0,0.7,14.3
50,5,0.05,sync,50,991737564,13,0,2,506,300,10,1,1,0.32,7.56
50,15,0.3,async,7,1211159928,446,1,0,26612,0,50,1,2,1.0,70.64
150,10,0.3,sync,59,1058114563,5,1,0,114264,0,150,0,9,1.0,31.76
20,5,0.3,async,105,462273229,113,1,0,354,0,20,1,2,1.0,6.2
50,10,0.2,sync,9,840502089,10,0,2,8288,284,2,1,0,1.0,30.92
150,10,0.2,sync,108,1458032680,8,1,0,72700,0,150,0,3,1.0,31.85333333333333
100,12,0.05,sync,70,1294051573,32,0,2,11924,386,9,1,1,0.98,46.34
100,15,0.3,async,29,1235057477,511,1,0,109478,0,100,0,6,1.0,69.92
100,15,0.2,async,41,2024798725,799,1,0,73572,0,100,1,9,1.0,70.14
150,12,0.7,async,27,1422187578,666,1,0,373586,0,150,1,2,1.0,45.04
100,15,0.5,sync,97,1390620414,5,1,0,179980,0,100,1,4,1.0,70.1
200,8,0.1,async,95,2135392570,1245,1,0,42560,0,200,1,2,1.0,20.18
20,15,0.2,async,29,1755737703,117,1,0,2896,468,6,0,2,1.0,59.6
50,15,0.05,sync,15,316612620,31,0,2,5836,1938,1,1,1,0.68,72.28
20,10,0.5,async,87,1018288347,82,1,0,3194,0,20,0,5,1.0,28.5
20,10,0.05,async,95,899068744,132,1,0,678,94,13,1,2,0.7,28.4
100,12,0.2,sync,86,410190119,8,1,0,46654,0,100,0,9,1.0,44.2
20,12,0.1,async,90,962843514,222,1,0,1190,170,14,1,1,0.4,37.5
200,15,0.2,sync,85,237654357,6,1,0,301762,0,200,0,1,1.0,71.64
20,5,0.7,sync,68,2137851751,3,1,0,1130,0,20,0,1,1.0,7.4
200,5,0.05,sync,86,1938623152,6,1,0,8136,0,200,0,0,1.0,7.39
20,5,0.05,async,28,437193969,84,1,0,180,22,14,0,1,0.85,6.8
200,5,0.7,async,14,914793682,1685,1,0,111248,0,200,0,1,1.0,7.51
50,12,0.2,sync,6,1915378506,9,1,0,11930,0,50,0,4,1.0,43.8
200,10,0.1,async,79,648754069,2021,1,0,66166,0,200,0,6,1.0,31.37
200,8,0.1,sync,26,554285400,6,1,0,41570,0,200,0,7,1.0,19.93
150,12,0.1,async,81,697833620,1368,1,0,51596,0,150,1,4,1.0,45.32
20,8,0.7,sync,51,1242098734,4,1,0,2966,0,20,1,0,1.0,18.1
150,8,0.7,sync,52,932032332,5,1,0,163550,0,150,0,7,1.0,19.65333333333333
100,15,0.3,sync,113,1587822071,8,1,0,110832,0,100,1,11,1.0,69.5
20,5,0.5,async,75,1894630432,54,1,0,888,0,20,0,2,1.0,6.9
150,10,0.2,async,115,1349892623,721,1,0,73824,0,150,1,7,1.0,31.813333333333333
150,5,0.5,async,69,719414803,801,1,0,44180,0,150,0,0,1.0,7.626666666666667
150,10,0.1,sync,107,45950642,10,1,0,38032,0,150,0,1,1.0,30.986666666666668
200,15,0.3,sync,65,742638057,5,1,0,450080,0,200,0,0,1.0,70.5
150,8,0.1,async,55,936536075,957,1,0,23602,0,150,0,1,1.0,20.346666666666668
150,5,0.5,sync,30,118925910,3,1,0,44548,0,150,0,3,1.0,7.68
50,12,0.7,sync,100,366177378,5,1,0,40488,0,50,1,6,1.0,44.6
