n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
200,12,0.3,sync,98,2101084563,4,1,0,284032,0,200,0,3,1.0,45.1
100,12,0.7,sync,115,28266030,3,1,0,167146,0,100,1,8,1.0,44.26
100,15,0.7,sync,20,1062347109,3,1,0,260474,0,100,1,13,1.0,70.48
150,8,0.2,async,79,1944811298,1585,1,0,47344,0,150,0,0,1.0,19.64
20,15,0.5,async,5,51689124,136,1,0,6806,0,20,0,3,1.0,65.4
100,8,0.7,sync,87,1659638796,3,1,0,73084,0,100,1,7,1.0,19.78
200,8,0.7,sync,112,67157168,2,1,0,294942,0,200,0,2,1.0,19.83
20,15,0.5,async,115,760672281,80,1,0,7376,0,20,0,8,1.0,67.0
150,5,0.2,async,46,1728576036,892,1,0,17568,0,150,1,4,1.0,7.68
50,5,0.3,async,38,1459905522,146,1,0,3048,0,50,0,4,1.0,7.12
200,8,0.3,async,86,2166281038,1334,1,0,123026,0,200,0,5,1.0,20.17
200,10,0.05,async,107,1047638660,3052,1,0,35280,0,200,0,1,1.0,32.47
50,5,0.7,sync,14,1149876997,3,1,0,6944,0,50,1,2,1.0,7.6
200,15,0.2,sync,4,84575258,6,1,0,288906,0,200,0,11,1.0,71.26
50,15,0.1,sync,18,1760563586,27,0,2,10668,870,4,0,1,1.0,70.76
20,5,0.3,async,87,1665452739,56,1,0,474,34,3,1,2,0.55,7.1
150,5,0.5,async,111,125705519,761,1,0,44930,0,150,0,0,1.0,7.333333333333333
50,5,0.5,async,40,643363391,190,1,0,4926,0,50,0,2,1.0,7.52
100,15,0.5,sync,64,209659232,4,1,0,185100,0,100,0,9,1.0,69.28
150,10,0.3,async,51,911995236,983,1,0,111282,0,150,1,2,1.0,31.386666666666667
50,12,0.1,sync,117,281305423,22,0,2,6018,282,5,0,8,0.68,45.0
50,10,0.1,async,103,52463335,435,1,0,3980,222,7,1,2,1.0,29.36
100,5,0.7,async,118,155477359,413,1,0,27514,0,100,0,0,1.0,7.48
200,5,0.05,sync,92,1504450353,8,1,0,7916,0,200,0,2,1.0,7.47
50,10,0.05,sync,91,1625349336,23,0,2,2220,1166,1,1,1,0.68,31.2
150,5,0.5,async,91,2090098291,872,1,0,44270,0,150,1,0,1.0,7.533333333333333
20,10,0.7,sync,70,2092707214,3,1,0,4432,0,20,1,4,1.0,29.2
150,12,0.3,sync,75,829068696,5,1,0,161424,0,150,0,1,1.0,45.04
20,15,0.3,sync,70,229525468,15,0,2,3766,476,1,1,13,1.0,69.8
50,5,0.7,sync,107,533949385,2,1,0,6854,0,50,0,2,1.0,7.36
150,10,0.2,sync,29,444401432,5,1,0,72842,0,150,1,4,1.0,31.786666666666665
200,10,0.1,async,44,427683923,1322,1,0,65746,0,200,0,3,1.0,31.5
150,8,0.3,async,4,1561133827,1053,1,0,67800,0,150,1,1,1.0,19.49333333333333
20,8,0.1,sync,7,1187238556,20,0,2,620,204,3,0,2,0.4,18.2
100,10,0.7,async,70,2152216794,487,1,0,113538,0,100,0,7,1.0,30.78
200,12,0.05,sync,35,1851642967,10,1,0,48272,0,200,0,0,1.0,45.5
200,12,0.05,async,36,30192061,3095,1,0,47588,0,200,1,1,1.0,46.39
100,12,0.05,async,31,1305623437,3308,1,0,10960,860,15,1,0,1.0,45.62
150,8,0.3,async,44,1827976692,1319,1,0,72308,0,150,0,4,1.0,19.706666666666667
50,15,0.1,sync,105,1578808773,29,0,2,7650,1556,1,1,0,1.0,72.08
20,8,0.7,sync,1,983049318,5,1,0,2850,0,20,1,1,1.0,18.1
200,10,0.1,async,28,770311284,1734,1,0,67388,0,200,0,5,1.0,31.6
50,5,0.5,async,57,2067613047,318,1,0,4870,0,50,0,1,1.0,7.88
50,10,0.5,sync,29,587999487,5,1,0,20484,0,50,1,1,1.0,30.8
100,12,0.1,sync,6,231299368,15,1,0,24728,0,100,1,1,1.0,45.42
20,12,0.3,sync,15,171992780,12,0,2,2768,76,1,1,2,1.0,43.3
150,15,0.2,sync,99,1832595036,8,1,0,168402,0,150,1,2,1.0,70.46666666666667
50,5,0.3,sync,16,1430727422,6,1,0,2906,0,50,1,1,1.0,7.64
200,12,0.05,async,59,1020268918,3670,1,0,46700,0,200,1,0,1.0,45.75
50,10,0.5,async,56,563611419,253,1,0,18308,0,50,1,0,1.0,30.64
150,10,0.7,async,96,83208246,856,1,0,256792,0,150,0,7,1.0,30.706666666666667
150,8,0.5,sync,36,213249750,5,1,0,117380,0,150,1,0,1.0,19.89333333333333
20,10,0.1,sync,55,1770346995,31,0,2,876,172,3,1,1,0.45,32.0
50,15,0.2,async,109,478648696,394,1,0,16894,0,50,1,1,1.0,67.0
50,15,0.1,sync,71,877793109,22,0,2,8992,876,2,1,1,0.52,67.4
50,12,0.5,async,41,1649170785,203,1,0,29552,0,50,0,2,1.0,42.56
200,15,0.3,sync,100,963708203,6,1,0,446734,0,200,1,3,1.0,71.3
100,12,0.5,sync,108,1929119165,5,1,0,118440,0,100,0,8,1.0,44.6
20,12,0.05,async,5,643776236,125,1,0,964,40,16,1,1,1.0,40.1
150,8,0.5,sync,3,1279111103,3,1,0,118376,0,150,1,0,1.0,20.226666666666667
50,5,0.3,async,1,852870589,175,1,0,3050,0,50,1,3,1.0,7.36
50,12,0.3,async,9,1969594788,318,1,0,17206,0,50,0,1,1.0,42.96
50,10,0.1,sync,3,875869891,26,0,2,3964,408,1,1,4,1.0,31.76
100,8,0.2,async,46,32286309,829,1,0,20192,0,100,1,2,1.0,20.1
50,10,0.3,sync,9,944737629,7,1,0,13110,0,50,0,2,1.0,31.48
150,5,0.3,async,6,1631049048,633,1,0,27482,0,150,0,2,1.0,7.68
150,8,0.7,sync,68,589404971,3,1,0,164412,0,150,1,7,1.0,19.666666666666668
150,15,0.05,async,25,869786062,2415,1,0,41536,0,150,1,1,1.0,73.37333333333333
200,15,0.2,sync,17,1082445564,8,1,0,288416,0,200,1,1,1.0,70.43
200,8,0.3,sync,112,403238892,5,1,0,125502,0,200,0,6,1.0,19.95
100,12,0.2,async,22,240516401,452,1,0,46332,0,100,1,0,1.0,45.32
20,15,0.5,async,3,812902386,106,1,0,6646,0,20,0,7,1.0,66.5
200,15,0.1,async,101,786700408,1775,1,0,146514,0,200,1,4,1.0,72.46
200,8,0.05,async,66,942523527,1931,1,0,21436,0,200,0,2,1.0,20.2
20,8,0.7,sync,71,1425189610,3,1,0,2724,0,20,0,0,1.0,16.6
50,12,0.05,async,89,120451085,931,1,0,3350,166,22,1,1,0.84,44.8
150,8,0.7,sync,22,657396018,3,1,0,164898,0,150,0,1,1.0,20.093333333333334
150,5,0.7,async,60,1274414127,826,1,0,62962,0,150,0,1,1.0,7.466666666666667
150,8,0.5,async,15,1216743765,738,1,0,115576,0,150,0,1,1.0,20.026666666666667
100,15,0.3,sync,96,163572415,6,1,0,107518,0,100,1,3,1.0,71.14
50,8,0.3,async,8,1039090697,266,1,0,7690,0,50,0,0,1.0,19.16
50,8,0.7,sync,7,1719139029,3,1,0,17918,0,50,0,5,1.0,19.2
20,8,0.05,sync,89,223407152,15,0,2,442,394,1,1,1,0.55,22.2
100,10,0.7,sync,14,1469641043,3,1,0,114462,0,100,1,1,1.0,31.1
150,12,0.05,sync,68,2132567553,20,0,2,26258,30,147,1,0,1.0,45.84
50,5,0.3,async,119,1612984621,186,1,0,3016,0,50,0,1,1.0,7.24
150,10,0.05,async,5,1987464409,1679,1,0,19538,680,15,1,0,1.0,32.346666666666664
150,5,0.05,sync,38,2099571942,6,1,0,4574,0,150,0,0,1.0,7.72
100,5,0.3,async,11,1394882757,383,1,0,12294,0,100,1,1,1.0,7.62
150,8,0.3,async,20,1218506466,976,1,0,70190,0,150,1,5,1.0,19.973333333333333
100,8,0.5,sync,59,372423913,6,1,0,50854,0,100,1,7,1.0,19.48
50,12,0.2,sync,36,2090675933,11,1,0,11534,0,50,0,10,1.0,43.04
100,5,0.1,async,42,1440132992,708,1,0,4114,0,100,0,1,1.0,7.44
100,5,0.3,sync,79,696391040,3,1,0,11850,0,100,0,4,1.0,7.3
150,15,0.5,sync,12,1912936535,5,1,0,409070,0,150,1,4,1.0,70.12
50,5,0.05,sync,29,1189253319,18,0,2,690,444,1,1,1,0.58,5.76
50,10,0.1,async,110,1385167553,815,1,0,4342,0,50,0,9,1.0,28.92
20,5,0.1,async,102,2053330335,113,1,0,174,12,19,0,1,0.75,6.1
20,10,0.7,async,73,821532989,97,1,0,4616,0,20,1,3,1.0,29.3
100,12,0.2,sync,92,2123500968,10,1,0,45504,0,100,1,6,1.0,45.78
20,10,0.7,async,12,752205879,69,1,0,4234,0,20,1,1,1.0,29.6
100,5,0.05,async,81,1549956390,915,1,0,2136,0,100,0,0,1.0,7.42
20,5,0.3,sync,57,1520170757,6,1,0,470,0,20,0,0,1.0,7.4
50,12,0.2,async,116,1235238262,323,1,0,10940,0,50,1,0,1.0,44.0
200,5,0.3,sync,10,823838646,3,1,0,46750,0,200,0,2,1.0,7.46
20,5,0.2,sync,23,2108803225,9,0,2,308,38,8,0,4,0.7,6.8
20,12,0.7,sync,119,273085049,7,1,0,6524,0,20,0,2,1.0,38.9
50,15,0.1,async,41,1409135055,931,1,0,9238,590,12,1,0,0.56,70.08
200,8,0.5,sync,55,1125121851,3,1,0,207414,0,200,0,0,1.0,20.32
200,10,0.05,async,11,856580291,1958,1,0,33506,0,200,1,0,1.0,31.92
150,12,0.05,sync,76,937181492,14,1,0,25498,0,150,1,2,1.0,46.18666666666667
150,15,0.7,sync,42,1585999293,3,1,0,587638,0,150,1,5,1.0,69.64
100,5,0.3,sync,65,178466252,3,1,0,12298,0,100,0,2,1.0,7.36
200,5,0.2,async,74,1548955594,1185,1,0,31664,0,200,0,4,1.0,7.81
20,15,0.7,async,91,373032598,60,1,0,9344,0,20,1,6,1.0,61.9
150,8,0.5,async,78,425518726,765,1,0,115654,0,150,0,6,1.0,19.28
100,15,0.3,sync,12,1251652096,5,1,0,109398,0,100,0,2,1.0,69.12
100,10,0.3,async,44,1444835656,853,1,0,50444,0,100,1,1,1.0,30.58
150,12,0.2,sync,8,336078869,8,1,0,106060,0,150,1,5,1.0,45.653333333333336
150,5,0.7,async,108,345870931,865,1,0,63050,0,150,1,1,1.0,7.72
150,15,0.5,async,65,1736805431,964,1,0,429348,0,150,1,5,1.0,71.25333333333333
200,12,0.7,sync,72,1210763912,3,1,0,663690,0,200,0,7,1.0,45.25
100,10,0.1,sync,89,547771330,14,0,2,15168,1168,1,1,0,1.0,30.76
200,5,0.5,sync,14,710388978,2,1,0,79048,0,200,0,0,1.0,7.53
200,15,0.5,sync,12,1990239253,4,1,0,741878,0,200,0,11,1.0,70.87
200,12,0.2,async,24,982029891,1037,1,0,190562,0,200,1,5,1.0,44.95
100,12,0.5,sync,116,733733104,4,1,0,118514,0,100,0,7,1.0,44.82
50,10,0.7,sync,15,1615984791,3,1,0,28446,0,50,1,8,1.0,30.08
50,10,0.2,async,97,131841155,452,1,0,7488,0,50,1,5,1.0,31.56
150,10,0.2,async,82,268270328,1194,1,0,72620,0,150,0,9,1.0,31.093333333333334
100,5,0.5,sync,102,293700016,4,1,0,20352,0,100,1,2,1.0,7.52
150,5,0.5,async,60,147923847,759,1,0,45020,0,150,0,4,1.0,7.773333333333333
50,8,0.05,async,106,1377075043,783,1,0,1366,202,21,1,0,0.6,18.16
150,12,0.2,async,55,494781677,934,1,0,106946,0,150,1,0,1.0,45.50666666666667
100,10,0.7,async,112,1657846397,562,1,0,115204,0,100,0,5,1.0,30.16
20,8,0.1,async,29,428040964,103,1,0,456,72,13,1,1,0.65,15.8
20,10,0.1,sync,0,1366185973,12,0,2,784,832,1,0,5,0.35,21.4
50,8,0.2,async,65,699945844,650,1,0,4962,0,50,1,1,1.0,19.88
100,15,0.1,sync,13,1220943791,10,1,0,39374,0,100,1,7,1.0,69.24
200,15,0.2,sync,87,1524585856,5,1,0,295542,0,200,1,1,1.0,71.65
100,15,0.3,sync,8,825272746,5,1,0,107884,0,100,0,0,1.0,69.56
50,15,0.2,sync,31,425916205,13,1,0,19266,0,50,1,0,1.0,66.08
150,10,0.1,async,25,1079456434,1121,1,0,37676,0,150,1,2,1.0,31.69333333333333
150,10,0.7,async,100,509587596,703,1,0,260452,0,150,0,7,1.0,31.586666666666662
100,10,0.5,sync,83,576716934,4,1,0,81184,0,100,1,9,1.0,30.12
100,8,0.7,sync,58,1103734738,3,1,0,74066,0,100,1,0,1.0,19.58
100,5,0.5,sync,42,1991249923,2,1,0,19946,0,100,0,1,1.0,7.26
150,12,0.7,async,75,394305495,664,1,0,373262,0,150,1,5,1.0,45.54666666666667
20,10,0.7,async,5,1566985309,62,1,0,4316,0,20,1,2,1.0,27.6
50,12,0.05,async,47,714160369,715,1,0,3572,412,14,0,0,0.84,41.84
50,15,0.5,sync,60,1229404708,6,1,0,43192,0,50,0,6,1.0,67.6
50,5,0.7,async,108,760643240,190,1,0,7096,0,50,1,3,1.0,7.36
150,15,0.5,async,79,107246571,934,1,0,414162,0,150,0,7,1.0,70.17333333333333
20,15,0.05,sync,54,307272280,10,0,2,1758,1414,1,1,0,0.7,48.6
20,10,0.1,sync,54,102808865,12,0,2,858,674,1,1,0,0.45,20.4
200,10,0.7,sync,16,194316585,4,1,0,458856,0,200,0,5,1.0,31.9
200,10,0.5,async,112,450763972,1110,1,0,325880,0,200,0,6,1.0,31.75
200,12,0.2,async,80,906245395,1217,1,0,190146,0,200,1,1,1.0,45.2
20,5,0.3,sync,3,1474203685,5,1,0,546,0,20,1,4,1.0,7.2
150,10,0.2,sync,52,1434478289,10,1,0,73852,0,150,0,3,1.0,31.8
150,8,0.7,sync,117,1328399905,3,1,0,164000,0,150,0,0,1.0,20.05333333333333
150,10,0.5,sync,26,1315047071,4,1,0,182032,0,150,0,8,1.0,30.906666666666663
200,8,0.1,async,92,1328406589,1340,1,0,40972,0,200,1,2,1.0,20.37
150,10,0.05,sync,58,398054559,16,0,2,18470,566,10,1,1,0.58,31.92
50,8,0.05,async,77,721832098,825,1,0,1528,188,26,1,0,0.94,18.56
150,8,0.7,async,99,1090735140,845,1,0,164828,0,150,0,4,1.0,20.2
20,15,0.7,sync,107,1570588399,5,1,0,10294,0,20,0,8,1.0,66.6
100,15,0.3,async,68,1981845860,654,1,0,107334,0,100,1,6,1.0,70.66
100,5,0.05,async,108,818928949,989,1,0,1872,86,57,1,0,1.0,7.74
50,5,0.2,async,28,411185681,337,1,0,1834,0,50,0,0,1.0,7.36
20,8,0.3,sync,99,1454958112,11,1,0,1314,0,20,1,0,1.0,19.1
200,12,0.3,sync,73,1971559855,5,1,0,282736,0,200,0,10,1.0,45.22
200,12,0.05,async,15,227707816,2579,1,0,43480,0,200,1,2,1.0,46.13
50,5,0.2,async,11,1233758560,272,1,0,1912,0,50,1,1,1.0,7.68
50,8,0.05,async,34,1795486900,588,1,0,1702,116,20,1,1,0.78,19.32
20,10,0.1,async,89,242142692,131,1,0,896,122,8,1,0,1.0,27.2
100,5,0.7,sync,46,1915394604,3,1,0,27788,0,100,0,1,1.0,7.52
150,8,0.5,sync,34,1073801899,3,1,0,118136,0,150,0,4,1.0,20.133333333333333
100,8,0.2,sync,30,1815757945,8,1,0,20578,0,100,0,2,1.0,19.7
50,5,0.1,sync,49,2009309180,27,1,0,808,0,50,1,0,1.0,7.56
150,8,0.05,sync,87,414259017,12,1,0,11310,0,150,1,0,1.0,20.24
150,5,0.5,sync,41,1878009478,3,1,0,44490,0,150,0,2,1.0,7.653333333333333
20,12,0.5,sync,74,462704134,8,0,2,4384,366,1,1,10,0.5,39.1
200,8,0.2,sync,100,1289491877,7,1,0,82318,0,200,0,5,1.0,20.13
50,10,0.05,async,46,2118712012,692,1,0,2742,224,21,1,0,1.0,28.84
200,15,0.05,async,57,261834058,2192,1,0,74448,0,200,1,0,1.0,72.29
150,8,0.7,async,50,351740206,784,1,0,164180,0,150,0,6,1.0,19.466666666666665
20,10,0.1,async,93,668522042,95,1,0,736,118,13,1,8,0.4,27.6
200,12,0.05,async,22,1560412034,2626,1,0,48220,1966,2,1,0,1.0,46.07
150,8,0.3,sync,118,2089195848,8,1,0,71240,0,150,1,0,1.0,20.04
100,15,0.5,async,67,1822623473,528,1,0,182494,0,100,0,11,1.0,70.8
100,10,0.1,async,27,1665029111,707,1,0,17480,0,100,1,6,1.0,31.62
100,8,0.7,sync,21,1643877854,4,1,0,72592,0,100,0,0,1.0,19.36
50,8,0.3,async,24,696463336,275,1,0,7868,0,50,0,3,1.0,17.88
100,10,0.05,async,107,219587058,1543,1,0,8476,204,46,0,0,1.0,30.78
150,10,0.5,sync,8,370742933,4,1,0,183198,0,150,0,2,1.0,30.813333333333333
50,8,0.3,sync,87,1246743685,5,1,0,7556,0,50,1,0,1.0,19.28
150,5,0.7,sync,6,1930490749,3,1,0,62200,0,150,1,1,1.0,7.453333333333333
20,12,0.2,async,112,1978732023,95,1,0,2040,14,13,0,0,1.0,42.3
200,12,0.7,async,66,204092436,1310,1,0,661754,0,200,1,0,1.0,45.13
100,10,0.5,sync,9,1855680940,3,1,0,78886,0,100,0,0,1.0,30.5
150,15,0.2,sync,58,1946358802,7,1,0,158902,0,150,1,2,1.0,69.8
150,12,0.3,async,18,1992099196,1042,1,0,159298,0,150,1,10,1.0,45.34666666666666
150,5,0.1,sync,92,1793240744,6,1,0,8558,0,150,0,1,1.0,7.426666666666667
20,8,0.2,sync,58,979986189,18,0,2,788,460,1,1,2,0.4,17.6
20,8,0.7,sync,92,1128334968,4,1,0,2816,0,20,0,4,1.0,17.9
100,12,0.5,async,63,175659306,524,1,0,118066,0,100,1,11,1.0,43.78
20,12,0.1,async,14,855537134,114,1,0,1198,198,9,1,1,1.0,40.6
50,12,0.05,sync,70,192277003,16,0,2,3370,2406,1,1,0,0.44,35.96
100,5,0.7,sync,16,1740097177,3,1,0,26892,0,100,0,0,1.0,7.16
200,5,0.2,async,38,1708492079,954,1,0,32546,0,200,0,3,1.0,7.84
20,10,0.5,sync,50,1687785795,8,1,0,3146,0,20,1,1,1.0,27.8
200,8,0.7,sync,77,1993570670,3,1,0,295546,0,200,1,2,1.0,20.45
50,8,0.05,sync,16,898143365,15,0,2,1446,954,1,1,1,0.62,22.16
150,15,0.5,async,25,1469962566,617,1,0,410466,0,150,1,14,1.0,70.92
150,12,0.5,async,118,826883986,780,1,0,265264,0,150,1,3,1.0,45.76
150,15,0.3,async,31,1575618785,1180,1,0,247376,0,150,1,1,1.0,71.01333333333334
50,15,0.05,async,100,1602710442,980,1,0,5302,388,13,1,1,0.56,67.24
150,5,0.3,sync,51,1185304385,4,1,0,26574,0,150,1,1,1.0,7.64
50,5,0.2,sync,51,1547562028,8,1,0,1930,0,50,1,0,1.0,7.36
50,5,0.3,async,23,1322587365,194,1,0,2882,0,50,0,1,1.0,6.92
50,8,0.05,async,19,1658168743,845,1,0,1746,104,23,1,2,0.66,20.0
20,8,0.5,sync,92,1729908524,8,1,0,1798,0,20,1,1,1.0,19.5
150,10,0.3,sync,82,2048191420,5,1,0,111160,0,150,1,6,1.0,31.41333333333333
150,12,0.5,sync,117,1843014042,4,1,0,264626,0,150,0,5,1.0,45.25333333333333
50,8,0.5,sync,1,1737389380,4,1,0,12868,0,50,1,2,1.0,18.56
100,8,0.1,sync,57,2122703406,6,1,0,10476,0,100,0,1,1.0,19.42
50,10,0.1,async,21,379329754,686,1,0,3918,214,15,0,1,1.0,30.56
150,15,0.1,async,111,1606263978,994,1,0,82496,0,150,1,10,1.0,70.62666666666667
50,15,0.5,sync,15,916789124,6,1,0,43010,0,50,1,10,1.0,67.76
50,5,0.2,sync,77,1296480105,5,1,0,2160,0,50,1,2,1.0,7.04
20,10,0.1,sync,63,574960934,8,0,2,798,690,1,1,0,0.4,18.7
100,10,0.7,sync,113,518879519,3,1,0,116114,0,100,0,5,1.0,31.4
100,8,0.7,async,38,774344372,588,1,0,73006,0,100,0,2,1.0,19.5
50,15,0.05,sync,109,1368223138,25,0,2,5856,3202,1,1,1,0.94,72.76
100,12,0.3,sync,34,1770189481,6,1,0,71316,0,100,0,3,1.0,43.96
50,10,0.7,async,9,509974428,306,1,0,27896,0,50,0,1,1.0,30.56
150,5,0.7,async,23,1913896130,519,1,0,62944,0,150,0,1,1.0,7.8
50,15,0.05,async,8,1838031423,605,1,0,5120,880,13,1,0,0.82,62.28
50,5,0.7,sync,94,1683562727,3,1,0,6804,0,50,0,1,1.0,7.28
50,8,0.3,sync,42,934128101,9,1,0,8000,0,50,1,4,1.0,19.72
150,12,0.2,async,31,2032795099,1363,1,0,105192,0,150,0,1,1.0,44.85333333333333
200,8,0.3,async,112,1915199115,813,1,0,125266,0,200,1,1,1.0,20.07
150,12,0.7,sync,64,76066202,3,1,0,376114,0,150,1,7,1.0,44.54666666666667
50,10,0.7,sync,53,595896157,4,1,0,28028,0,50,0,8,1.0,30.08
100,12,0.5,sync,47,1959130942,4,1,0,117964,0,100,0,1,1.0,42.64
150,15,0.5,sync,37,2141800130,4,1,0,417370,0,150,0,3,1.0,70.66666666666667
150,10,0.2,async,21,198943218,671,1,0,77262,0,150,1,5,1.0,31.17333333333333
20,8,0.05,sync,117,1259256728,10,0,2,460,420,1,1,0,0.5,13.3
50,8,0.5,async,88,1838268259,203,1,0,12946,0,50,0,0,1.0,19.04
200,8,0.05,async,67,462578009,1985,1,0,21448,1172,12,1,0,1.0,20.79
200,15,0.3,async,108,474961515,1424,1,0,452730,0,200,0,10,1.0,70.97
50,8,0.2,sync,47,291826244,6,1,0,5544,0,50,1,2,1.0,19.6
150,12,0.7,sync,15,1484554916,3,1,0,372564,0,150,0,9,1.0,44.85333333333333
50,15,0.5,async,76,1593416720,244,1,0,45682,0,50,1,11,1.0,70.24
20,8,0.1,sync,68,1157226779,10,0,2,552,464,1,1,2,0.25,13.6
50,5,0.1,sync,9,1742466315,18,0,2,848,80,17,0,1,1.0,6.96
150,10,0.2,async,111,824174386,801,1,0,76938,0,150,0,1,1.0,31.01333333333333
200,10,0.3,sync,75,2166259531,4,1,0,199940,0,200,1,1,1.0,31.4
50,12,0.5,sync,81,1209374277,7,1,0,30322,0,50,1,2,1.0,43.32
150,15,0.7,sync,4,458604279,4,1,0,574398,0,150,0,4,1.0,69.86666666666666
20,12,0.2,async,81,36557579,103,1,0,1544,176,3,1,1,1.0,38.1
150,8,0.5,async,52,577261762,1162,1,0,118826,0,150,0,3,1.0,19.973333333333333
20,10,0.05,sync,68,807172767,8,0,2,692,572,1,0,0,0.75,18.0
100,12,0.2,sync,47,1810885384,14,1,0,48094,0,100,1,4,1.0,45.06
150,12,0.1,async,119,1825228634,1213,1,0,52470,0,150,1,1,1.0,45.986666666666665
150,10,0.7,sync,112,1181425160,3,1,0,259558,0,150,1,2,1.0,31.346666666666668
100,8,0.3,sync,103,410269248,6,1,0,30104,0,100,0,2,1.0,19.1
200,15,0.3,sync,75,834183495,5,1,0,438498,0,200,0,6,1.0,70.84
200,8,0.05,async,88,165723367,2248,1,0,19852,0,200,1,2,1.0,19.97
100,5,0.2,async,67,1535683422,479,1,0,8028,0,100,1,0,1.0,7.46
150,8,0.1,sync,64,702048771,7,1,0,22176,0,150,1,0,1.0,20.2
20,8,0.5,sync,100,534522463,4,1,0,2078,0,20,1,1,1.0,17.2
100,5,0.7,async,109,1731470051,462,1,0,28132,0,100,1,1,1.0,7.44
200,15,0.3,sync,105,1009480922,5,1,0,443136,0,200,0,12,1.0,70.78
20,10,0.05,sync,22,875163814,6,0,2,610,558,1,1,0,0.35,17.7
50,8,0.7,async,9,1565226253,179,1,0,17996,0,50,0,2,1.0,18.72
100,5,0.1,async,5,2079614995,882,1,0,3880,0,100,1,0,1.0,8.18
100,5,0.2,sync,94,1440179406,5,1,0,8316,0,100,1,1,1.0,7.34
150,8,0.1,sync,49,664069501,8,1,0,22452,0,150,1,0,1.0,19.826666666666668
20,5,0.5,sync,49,28244152,6,1,0,784,0,20,1,0,1.0,7.7
200,8,0.7,sync,111,547102686,2,1,0,290708,0,200,0,3,1.0,19.76
150,15,0.1,async,96,1568284708,1638,1,0,81184,0,150,1,9,1.0,71.45333333333333
150,8,0.1,async,118,145311036,1311,1,0,24306,0,150,0,0,1.0,20.33333333333333
200,5,0.5,async,57,1347372173,831,1,0,79472,0,200,0,3,1.0,7.59
20,12,0.3,async,87,559559183,112,1,0,3238,0,20,0,5,1.0,43.8
100,12,0.7,sync,113,789479292,3,1,0,166896,0,100,1,1,1.0,43.72
20,15,0.1,sync,34,2132843951,15,0,2,1996,1084,1,1,2,0.7,70.8
20,15,0.2,sync,68,1795886713,16,0,2,3304,324,4,1,2,1.0,63.4
200,10,0.5,sync,42,544808218,5,1,0,329686,0,200,1,2,1.0,30.93
200,8,0.1,sync,66,821128265,6,1,0,42376,0,200,1,1,1.0,20.18
200,12,0.3,async,11,941333988,1378,1,0,282676,0,200,1,1,1.0,44.89
50,5,0.3,async,98,1810500376,270,1,0,2954,0,50,1,0,1.0,7.8
50,5,0.05,sync,21,336494619,11,0,2,558,382,7,1,0,0.58,8.84
50,12,0.3,sync,95,1461807233,6,1,0,17914,0,50,0,0,1.0,45.24
200,10,0.3,sync,71,1739880181,4,1,0,196934,0,200,0,5,1.0,31.65
200,5,0.5,async,12,1034756589,993,1,0,78814,0,200,0,3,1.0,7.65
200,8,0.3,async,26,1716347297,1089,1,0,124148,0,200,1,3,1.0,20.49
50,15,0.5,sync,118,293068063,5,1,0,44206,0,50,1,3,1.0,67.52
100,5,0.1,async,15,23676785,767,1,0,3794,0,100,0,0,1.0,7.62
50,12,0.1,async,73,195383694,549,1,0,6110,338,9,1,1,1.0,43.52
20,5,0.05,sync,109,2025485037,7,0,2,166,200,1,1,3,0.35,8.6
50,12,0.7,async,66,1276460824,213,1,0,41264,0,50,0,5,1.0,43.12
100,10,0.2,sync,35,1456353459,8,1,0,32194,0,100,1,9,1.0,31.08
50,15,0.3,async,15,2163257515,382,1,0,26330,0,50,1,3,1.0,67.56
150,10,0.1,async,48,2069533291,945,1,0,38686,0,150,1,1,1.0,31.946666666666665
150,5,0.7,async,110,1632802430,1107,1,0,62946,0,150,1,1,1.0,7.693333333333333
100,8,0.7,async,7,1078992463,487,1,0,71394,0,100,0,2,1.0,18.88
50,8,0.05,async,14,1612396024,806,1,0,1500,152,23,1,2,0.46,19.6
150,15,0.1,sync,75,1158499977,8,1,0,79616,0,150,0,2,1.0,71.01333333333334
50,5,0.3,async,65,728878081,287,1,0,2790,0,50,0,0,1.0,6.8
150,5,0.5,async,26,1693730718,820,1,0,43954,0,150,0,4,1.0,7.64
20,5,0.05,sync,95,1507560249,7,0,2,160,124,1,1,1,0.6,8.0
150,15,0.5,async,99,290337447,819,1,0,412560,0,150,1,4,1.0,69.90666666666667
20,10,0.2,sync,46,943399947,10,0,2,1368,542,1,1,1,1.0,25.5
150,12,0.3,async,10,1139340496,1545,1,0,161780,0,150,0,9,1.0,46.053333333333335
150,10,0.2,sync,71,1998175796,7,1,0,75160,0,150,0,7,1.0,31.386666666666667
150,12,0.7,sync,78,593990990,4,1,0,374308,0,150,0,4,1.0,45.68
50,5,0.3,async,97,142962246,240,1,0,3142,0,50,1,1,1.0,7.6
20,10,0.3,sync,6,1534392598,17,0,2,1520,112,1,0,5,1.0,27.4
100,8,0.1,sync,104,1574766841,13,0,2,10590,590,1,1,0,0.51,19.56
200,5,0.7,sync,12,969367571,3,1,0,111424,0,200,0,1,1.0,7.7
150,5,0.7,sync,51,95622685,3,1,0,62858,0,150,0,1,1.0,7.4
50,15,0.2,async,13,188251440,454,1,0,17508,0,50,0,7,1.0,68.84
100,5,0.7,async,11,253480183,389,1,0,27506,0,100,1,1,1.0,7.4
